id,name,organization,contact,description,status,website,category,timeline,color
RennaissanceFoundati,Rennaissance Foundation,Rennaissance Foundation,,Funder interested in environmental data initiatives,1. In conversation,,Funder,Established/Long-running,teal
Aqualateral,Aqualateral,Aqualateral,,Program: data & advocacy; Interest: climate and environmental justice and tool,2. Proposal submitted,,Funder,Established/Long-running,teal
FunderCollaborativet,Funder Collaborative (through Rockefeller Brothers),Funder Collaborative (through Rockefeller Brothers),,Funder interested in environmental data initiatives,2. Proposal submitted,,Funder,Established/Long-running,teal
GenerationFoundation,Generation Foundation,Generation Foundation,,Funder interested in environmental data initiatives,2. Proposal submitted,,Funder,Established/Long-running,teal
JMKaplanFund,J.M. Kaplan Fund,J.M. Kaplan Fund,,"Program: The 2025 J.M.K. Innovation Prize; Interest: ""bold problem-solvers leading transformative, early-stage projects in the fields of heritage conserv",2. Proposal submitted,,Funder,Established/Long-running,teal
LeverforChange,Lever for Change,Lever for Change,,Funder interested in environmental data initiatives,2. Proposal submitted,,Funder,Established/Long-running,teal
PortfoliotoProtectSc,Portfolio to Protect Science,Portfolio to Protect Science,,Funder interested in environmental data initiatives,4. Approved,,Funder,Established/Long-running,teal
WaverlyStreetFoundat,Waverly Street Foundation,Waverly Street Foundation,,Program: National Urgency; Interest: supporting EJ orgs & litigation; advocacy around data loss/importance & fed govt role,2. Proposal submitted,,Funder,Established/Long-running,teal
McGovernFoundation,McGovern Foundation,McGovern Foundation,,Funder interested in environmental data initiatives,4. Approved,,Funder,Established/Long-running,teal
thHourProjectSchmidt,11th Hour Project (Schmidt Family),11th Hour Project (Schmidt Family),,"Interest: EJ, future of enviromental data infrastructure ",4. Approved,,Funder,Established/Long-running,teal
SustainableCitiesFun,Sustainable Cities Fund (Bloomberg),Sustainable Cities Fund (Bloomberg),,Program: Environment; Interest: Data archiving and website,4. Approved,,Funder,Established/Long-running,teal
DorisDukeCharitableF,Doris Duke Charitable Foundation,Doris Duke Charitable Foundation,,"Interest: Rapid response, tool development, advocacy, visioning",4. Approved,,Funder,Established/Long-running,teal
HillspireSchmidtFami,Hillspire (Schmidt Family),Hillspire (Schmidt Family),,"Program: Science Ventures; Interest: data rescuing, preservation, and the future of federal data",4. Approved,,Funder,Established/Long-running,teal
AGCISHIPFellowCoalit,AGCI SHIP Fellow Coalition,AGCI SHIP Fellow Coalition,,Funder interested in environmental data initiatives,4. Approved,,Funder,Established/Long-running,teal
MacArthurFoundation,MacArthur Foundation,MacArthur Foundation,,Program: Climate; Interest: misinfromation interest,4. Approved,,Funder,Established/Long-running,teal
NathanCummings,Nathan Cummings,Nathan Cummings,,Funder interested in environmental data initiatives,4. Approved,,Funder,Established/Long-running,teal
PackardFoundation,Packard Foundation,Packard Foundation,,"Program: (none / slush fund); Interest: EDGI-focused, but should also benefit PEDP",4. Approved,,Funder,Established/Long-running,teal
RobertWoodJohnsonFou,Robert Wood Johnson Foundation,Robert Wood Johnson Foundation,,"Interest: (a different part of EDGI applied for an RWJF grant and got it; will have some data work, but mostly",4. Approved,,Funder,Established/Long-running,teal
SummitFoundation,Summit Foundation,Summit Foundation,,Interest: marine biodiversity,4. Approved,,Funder,Established/Long-running,teal
WokaFoundation,Woka Foundation,Woka Foundation,,Funder interested in environmental data initiatives,4. Approved,,Funder,Established/Long-running,teal
MooreFoundation,Moore Foundation,Moore Foundation,,Interest: mainly OEDP but will maybe also benefit PEDP,5. Not Active / Skipped,,Funder,Established/Long-running,teal
BallmerFoundation,Ballmer Foundation,Ballmer Foundation,,Funder interested in environmental data initiatives,5. Not Active / Skipped,,Funder,Established/Long-running,teal
GlobalDevelopmentInc,Global Development Incubator,Global Development Incubator,,Interest: Interested in impactful tools + passing back to govt as well as data collection,5. Not Active / Skipped,,Funder,Established/Long-running,teal
RohanPatel,Rohan Patel,Rohan Patel,,Program: Advisor to many philanthropies; Interest: tech talent working on climate issues,5. Not Active / Skipped,,Funder,Established/Long-running,teal
Mosaic,Mosaic,Mosaic,,Funder interested in environmental data initiatives,5. Rejected,,Funder,Established/Long-running,teal
MNetworkthroughPew,M10 Network (through Pew)?,M10 Network (through Pew)?,,Funder interested in environmental data initiatives,0. On our radar,,Funder,Established/Long-running,teal
PublicBenefitInnovat,Public Benefit Innovation Fund,Public Benefit Innovation Fund,,Funder interested in environmental data initiatives,0. On our radar,,Funder,Established/Long-running,teal
ArizonaStateUniversi,Arizona State University,Arizona State University,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Research/Academic,Established/Long-running,blue
AspenGlobalClimateIn,Aspen Global Climate Initative,Aspen Global Climate Initative,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Capacity Building/Support,Established/Long-running,orange
CaliforniaStateWater,California State Water Control Board,California State Water Control Board,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Government/Agency,Established/Long-running,orange
ConnectedbyData,Connected by Data,Connected by Data,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Data Coordination/Standards,Established/Long-running,red
DARO,DARO,DARO,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Capacity Building/Support,Established/Long-running,orange
DataSociety,Data & Society,Data & Society,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Data Coordination/Standards,Established/Long-running,red
DataIndex,Data Index,Data Index,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Data Coordination/Standards,Established/Long-running,red
EDGI,EDGI,EDGI,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Capacity Building/Support,Established/Long-running,orange
EPAOEJECRformer,EPA OEJECR (former),EPA OEJECR (former),,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Government/Agency,Established/Long-running,orange
EPIC,EPIC,EPIC,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Capacity Building/Support,Established/Long-running,orange
ESIP,ESIP,ESIP,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Capacity Building/Support,Established/Long-running,orange
EarthGenome,Earth Genome,Earth Genome,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Capacity Building/Support,Established/Long-running,orange
EndofTermArchiveStan,End of Term Archive / Stanford Library,End of Term Archive / Stanford Library,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Data Preservation/Archiving,Established/Long-running,green
EnvironmentalIntegri,Environmental Integrity Project,Environmental Integrity Project,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Capacity Building/Support,Established/Long-running,orange
FederationofAmerican,Federation of American Scientists,Federation of American Scientists,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Capacity Building/Support,Established/Long-running,orange
Formerusgs,Former usgs,Former usgs,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Government/Agency,Established/Long-running,orange
HarvardBUClimateCafe,Harvard/BU Climate Cafe,Harvard/BU Climate Cafe,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Capacity Building/Support,Established/Long-running,orange
HeisingSimons,Heising-Simons,Heising-Simons,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Capacity Building/Support,Established/Long-running,orange
InternetArchive,Internet Archive,Internet Archive,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Data Preservation/Archiving,Established/Long-running,green
ItertidalAgency,Itertidal Agency,Itertidal Agency,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Government/Agency,Established/Long-running,orange
KaporCenter,Kapor Center,Kapor Center,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Capacity Building/Support,Established/Long-running,orange
LawrenceBerkeleyLab,Lawrence Berkeley Lab,Lawrence Berkeley Lab,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Research/Academic,Established/Long-running,blue
LouisvilleformerCEQ,Louisville / former CEQ,Louisville / former CEQ,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Capacity Building/Support,Established/Long-running,orange
NYClimateExchange,NY Climate Exchange,NY Climate Exchange,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Capacity Building/Support,Established/Long-running,orange
OEDP,OEDP,OEDP,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Capacity Building/Support,Established/Long-running,orange
PewCharitableTrust,Pew Charitable Trust,Pew Charitable Trust,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Capacity Building/Support,Established/Long-running,orange
RMI,RMI,RMI,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Capacity Building/Support,Established/Long-running,orange
SchmidtCenterforData,Schmidt Center for Data Science and Environment,Schmidt Center for Data Science and Environment,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Data Coordination/Standards,Established/Long-running,red
SkyTruth,SkyTruth,SkyTruth,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Capacity Building/Support,Established/Long-running,orange
WoodsHoleOceanograpi,Woods Hole Oceanograpic Institutes,Woods Hole Oceanograpic Institutes,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Research/Academic,Established/Long-running,blue
workedontheCEJST,worked on the CEJST,worked on the CEJST,,Organization from Future of Open Environmental Data Convening (Sept 2025),Established,,Capacity Building/Support,Established/Long-running,orange
